patent_id,api,source_number,attempted_number,result_code,result_msg,error
168,legal_status,10-2024-0115774,1020240115774,00,NORMAL SERVICE.,
168,legal_status,10-2024-0115774,10-2024-0115774,00,NORMAL SERVICE.,
169,legal_status,106132082,106132082,00,NORMAL SERVICE.,
169,registration_fee,TW1669767B,1669767,,,
169,registration_fee,TW1669767B,TW1669767B,,,
170,legal_status,"11/812,408",11812408,00,NORMAL SERVICE.,
170,legal_status,"11/812,408","11/812,408",00,NORMAL SERVICE.,
170,registration_fee,US20080238724A1,200802387241,,,
170,registration_fee,US20080238724A1,US20080238724A1,,,
171,legal_status,"15/550,596",15550596,00,NORMAL SERVICE.,
171,legal_status,"15/550,596","15/550,596",00,NORMAL SERVICE.,
171,registration_fee,US10657384B2,1065738420000,,,
171,registration_fee,US10657384B2,106573842,,,
171,registration_fee,US10657384B2,US10657384B2,,,
172,legal_status,"15/704,064",15704064,00,NORMAL SERVICE.,
172,legal_status,"15/704,064","15/704,064",00,NORMAL SERVICE.,
172,registration_fee,US10437947B2,1043794720000,,,
172,registration_fee,US10437947B2,104379472,,,
172,registration_fee,US10437947B2,US10437947B2,,,
173,legal_status,"16/328,778",16328778,00,NORMAL SERVICE.,
173,legal_status,"16/328,778","16/328,778",00,NORMAL SERVICE.,
173,registration_fee,US11016467B2,1101646720000,,,
173,registration_fee,US11016467B2,110164672,,,
173,registration_fee,US11016467B2,US11016467B2,,,
174,legal_status,"16/347,985",16347985,00,NORMAL SERVICE.,
174,legal_status,"16/347,985","16/347,985",00,NORMAL SERVICE.,
174,registration_fee,US11494636B2,1149463620000,,,
174,registration_fee,US11494636B2,114946362,,,
174,registration_fee,US11494636B2,US11494636B2,,,
175,legal_status,"16/622,097",16622097,00,NORMAL SERVICE.,
175,legal_status,"16/622,097","16/622,097",00,NORMAL SERVICE.,
175,registration_fee,US11782432B2,1178243220000,,,
175,registration_fee,US11782432B2,117824322,,,
175,registration_fee,US11782432B2,US11782432B2,,,
176,legal_status,"16/638,959",16638959,00,NORMAL SERVICE.,
176,legal_status,"16/638,959","16/638,959",00,NORMAL SERVICE.,
176,registration_fee,US11483303B2,1148330320000,,,
176,registration_fee,US11483303B2,114833032,,,
176,registration_fee,US11483303B2,US11483303B2,,,
177,legal_status,"18/020,829",18020829,00,NORMAL SERVICE.,
177,legal_status,"18/020,829","18/020,829",00,NORMAL SERVICE.,
177,registration_fee,US12417849B2,1241784920000,,,
177,registration_fee,US12417849B2,124178492,,,
177,registration_fee,US12417849B2,US12417849B2,,,
178,legal_status,200710112054.7,2007101120547,00,NORMAL SERVICE.,
178,legal_status,200710112054.7,200710112054.7,00,NORMAL SERVICE.,
178,registration_fee,US6624749B1,66247491,,,
178,registration_fee,US6624749B1,US6624749B1,,,
179,legal_status,201780067437.9,2017800674379,00,NORMAL SERVICE.,
179,legal_status,201780067437.9,201780067437.9,00,NORMAL SERVICE.,
179,registration_fee,CN109891454B,1098914540000,,,
179,registration_fee,CN109891454B,109891454,,,
179,registration_fee,CN109891454B,CN109891454B,,,
180,legal_status,201880038342.9,2018800383429,00,NORMAL SERVICE.,
180,legal_status,201880038342.9,201880038342.9,00,NORMAL SERVICE.,
180,registration_fee,CN110770661B,1107706610000,,,
180,registration_fee,CN110770661B,110770661,,,
180,registration_fee,CN110770661B,CN110770661B,,,
181,legal_status,20736068.6,207360686,00,NORMAL SERVICE.,
181,legal_status,20736068.6,20736068.6,00,NORMAL SERVICE.,
181,registration_fee,EP3907618A1,39076181,,,
181,registration_fee,EP3907618A1,EP3907618A1,,,
182,legal_status,NOAPP-74873824122892,74873824122892,00,NORMAL SERVICE.,
182,legal_status,NOAPP-74873824122892,NOAPP-74873824122892,00,NORMAL SERVICE.,
182,registration_fee,JP6947850B2,69478502,,,
182,registration_fee,JP6947850B2,JP6947850B2,,,
183,legal_status,NOAPP-c30cbc85938136,3085938136,00,NORMAL SERVICE.,
183,legal_status,NOAPP-c30cbc85938136,NOAPP-c30cbc85938136,00,NORMAL SERVICE.,
183,registration_fee,JP6757846B2,67578462,,,
183,registration_fee,JP6757846B2,JP6757846B2,,,
184,legal_status,の,の,00,NORMAL SERVICE.,
184,registration_fee,US20230326609A1,202303266091,,,
184,registration_fee,US20230326609A1,US20230326609A1,,,
185,legal_status,申请,申请,00,NORMAL SERVICE.,
185,registration_fee,US7127350B2,71273502,,,
185,registration_fee,US7127350B2,US7127350B2,,,
